;Locality;Type of property;Subtype of property;Price;Number of bedrooms;Livable surface;Kitchen equipment;Number of bathrooms;Number of toilets;Floor of appartment;Number of floors;Balcony;State of the property;Build Year;Surface bedroom 1;Furnished;Surface of living-room;Cellar;Surface kitchen;Entry phone;Elevator;Number of showers;Orientation of the front facade;Number of facades;Terrace;Surface terrace;Surface bedroom 2;Security door;Access for disabled;Sewer Connection;Garden;Surface garden;Surface bedroom 3;Garage
0;1000 Brussels;flat;apartment;333500;2;100;Super equipped;1;1;1;4;0;Normal;;13,56780124;0;29,29059427;0;10,89371804;1;0;1;;2;0;0;10,98298429;0;0;1;0;;8,916937566;0
1;1000 Brussels;flat;apartment;379000;1;80;Super equipped;1;1;3;3;0;Normal;1997;21;0;25;1;22;1;1;1;;2;0;0;8,786387434;0;0;1;0;;7,133550053;0
2;1000 Brussels;flat;apartment;295000;2;80;Partially equipped;1;1;;3;0;Normal;;10,85424099;0;28;0;8,714974435;1;0;1;South;2;1;4;8,786387434;0;0;1;0;;7,133550053;0
3;1000 Brussels;flat;loft;635000;2;217;Super equipped;1;3;4;4;0;Fully renovated;1900;25;0;63,56058958;0;23,63936816;1;1;1;;2;1;40;21;1;1;1;0;;19,34975452;0
4;1000 Brussels;flat;loft;595000;2;207;Partially equipped;2;2;3;4;0;Fully renovated;1900;16;0;60,63153015;0;22,54999635;1;1;2;;2;1;10;16;0;1;1;0;;18,45806076;0
5;1000 Brussels;flat;duplex;615000;2;170;Super equipped;1;2;;5;0;Normal;1890;23,06526211;0;49,79401027;0;18,51932068;1;0;1;;3;1;40;18,6710733;0;0;1;0;;15,15879386;0
6;1000 Brussels;flat;duplex;615000;1;170;Super equipped;1;2;;5;0;Normal;1890;23,06526211;0;49,79401027;0;18,51932068;1;0;1;;3;1;40;18,6710733;0;0;1;0;;15,15879386;0
7;1000 Brussels;flat;apartment;515000;3;130;Partially equipped;2;1;1;7;0;Normal;2022;17,63814161;0;38,07777256;0;14,16183346;1;0;1;;2;1;15;14,27787958;0;0;1;0;;11,59201884;0
8;1000 Brussels;flat;apartment;550000;3;130;Partially equipped;2;1;4;7;0;Normal;2022;17,63814161;0;38,07777256;0;14,16183346;1;0;1;;2;1;14;14,27787958;0;0;1;0;;11,59201884;0
9;1000 Brussels;flat;apartment;355000;1;82;Fully equipped;1;1;;;0;Normal;2013;11,12559702;0;24,01828731;0;8,932848796;1;0;1;;2;1;5;9,00604712;0;0;1;0;;7,311888804;0
