,Locality,Type of property,Subtype of property,Price,Number of bedrooms,Livable surface,Kitchen equipment,Number of bathrooms,Number of toilets,Floor of appartment,Number of floors,Balcony,State of the property,Build Year,Surface bedroom 1,Furnished,Surface of living-room,Cellar,Surface kitchen,Entry phone,Elevator,Number of showers,Orientation of the front facade,Number of facades,Terrace,Surface terrace,Surface bedroom 2,Security door,Access for disabled,Sewer Connection,Garden,Surface garden,Surface bedroom 3,Garage
0,1000 Brussels,flat,apartment,333500,2,100.0,Super equipped,1,1,1,4,0,Normal,,13.567801239876145,0,29.290594274516156,0,10.89371804417988,1,0,1,,2,0,0,10.982984292528238,0,0,1,0,,8.916937566342531,0
1,1000 Brussels,flat,apartment,379000,1,80.0,Super equipped,1,1,3,3,0,Normal,1997,21.0,0,25.0,1,22.0,1,1,1,,2,0,0,8.786387434022592,0,0,1,0,,7.133550053074025,0
2,1000 Brussels,flat,apartment,295000,2,80.0,Partially equipped,1,1,,3,0,Normal,,10.854240991900916,0,28.0,0,8.714974435343905,1,0,1,South,2,1,4.0,8.786387434022592,0,0,1,0,,7.133550053074025,0
3,1000 Brussels,flat,loft,635000,2,217.0,Super equipped,1,3,4,4,0,Fully renovated,1900,25.0,0,63.560589575700064,0,23.639368155870343,1,1,1,,2,1,40.0,21.0,1,1,1,0,,19.34975451896329,0
4,1000 Brussels,flat,loft,595000,2,207.0,Partially equipped,2,2,3,4,0,Fully renovated,1900,16.0,0,60.631530148248444,0,22.549996351452354,1,1,2,,2,1,10.0,16.0,0,1,1,0,,18.45806076232904,0
5,1000 Brussels,flat,duplex,615000,2,170.0,Super equipped,1,2,,5,0,Normal,1890,23.065262107789447,0,49.79401026667747,0,18.5193206751058,1,0,1,,3,1,40.0,18.671073297298005,0,0,1,0,,15.158793862782304,0
6,1000 Brussels,flat,duplex,615000,1,170.0,Super equipped,1,2,,5,0,Normal,1890,23.065262107789447,0,49.79401026667747,0,18.5193206751058,1,0,1,,3,1,40.0,18.671073297298005,0,0,1,0,,15.158793862782304,0
7,1000 Brussels,flat,apartment,515000,3,130.0,Partially equipped,2,1,1,7,0,Normal,2022,17.63814161183899,0,38.077772556871004,0,14.161833457433845,1,0,1,,2,1,15.0,14.27787958028671,0,0,1,0,,11.592018836245291,0
8,1000 Brussels,flat,apartment,550000,3,130.0,Partially equipped,2,1,4,7,0,Normal,2022,17.63814161183899,0,38.077772556871004,0,14.161833457433845,1,0,1,,2,1,14.0,14.27787958028671,0,0,1,0,,11.592018836245291,0
9,1000 Brussels,flat,apartment,355000,1,82.0,Fully equipped,1,1,,,0,Normal,2013,11.125597016698439,0,24.01828730510325,0,8.932848796227503,1,0,1,,2,1,5.0,9.006047119873156,0,0,1,0,,7.311888804400875,0
10,1000 Brussels,flat,apartment,375000,1,73.0,Fully equipped,1,1,,,0,Normal,2013,9.904494905109587,0,21.382133820396795,0,7.952414172251314,1,0,1,,2,1,26.0,8.017578533545615,0,0,1,0,,6.509364423430048,0
11,1000 Brussels,flat,apartment,395000,2,107.0,Fully equipped,2,1,,,0,Normal,2013,14.517547326667476,0,31.34093587373229,0,11.656278307272473,1,0,1,,2,0,0,11.751793193005216,0,0,1,0,,9.541123195986508,0
12,1000 Brussels,flat,apartment,455000,2,107.0,Fully equipped,1,1,,,0,Normal,2013,14.517547326667476,0,31.34093587373229,0,11.656278307272473,1,0,1,,2,1,12.0,11.751793193005216,0,0,1,0,,9.541123195986508,0
13,1000 Brussels,flat,apartment,470000,2,105.0,Fully equipped,1,1,,,0,Normal,2013,14.246191301869953,0,30.755123988241966,0,11.438403946388876,1,0,1,,2,1,20.0,11.53213350715465,0,0,1,0,,9.362784444659658,0
14,1000 Brussels,flat,apartment,229000,2,80.0,Partially equipped,1,1,5,6,0,Excellent,2008,13.0,0,26.0,0,13.0,1,1,1,North-west,2,1,3.0,9.0,0,1,1,0,,7.133550053074025,0
15,1000 Brussels,flat,apartment,199000,1,56.0,Partially equipped,1,1,1,4,0,Excellent,2010,14.0,0,25.0,1,6.100482104740734,1,1,1,,2,0,0,6.150471203815814,0,1,1,0,,4.993485037151817,0
16,1000 Brussels,flat,apartment,749000,2,150.0,Partially equipped,1,2,1,7,0,Excellent,,22.0,0,43.935891411774236,0,16.340577066269823,1,1,1,,2,1,4.0,11.0,0,0,1,0,,13.375406349513796,0
17,1000 Brussels,flat,duplex,439000,4,205.0,Partially equipped,2,2,2,3,0,Excellent,,27.8139925417461,0,60.04571826275812,0,22.33212199056876,1,0,1,,2,0,0,22.51511779968289,0,0,1,0,,18.27972201100219,0
18,1000 Brussels,flat,studio,180000,,40.0,Partially equipped,1,1,,,0,Normal,,5.427120495950458,1,15.0,0,4.357487217671952,1,1,1,South,2,1,4.0,4.393193717011296,0,0,1,0,,3.5667750265370124,0
19,1000 Brussels,house,residence,348000,2,173.0,Partially equipped,1,1,,,0,Normal,,23.47229614498573,0,50.672728094912955,0,18.846132216431194,0,0,1,,2,0,0,19.000562826073853,0,0,1,0,,15.426301989772579,0
20,1000 Brussels,flat,apartment,310000,1,95.0,Super equipped,1,2,5,5,0,Normal,,18.0,0,65.0,0,10.349032141970888,1,0,2,,2,0,0,10.433835077901827,0,0,1,0,,8.471090688025404,0
21,1000 Brussels,flat,studio,165000,,37.0,Partially equipped,1,1,2,8,0,Normal,1968,5.020086458754174,0,24.0,0,5.0,1,1,1,,2,0,0,4.063704188235448,0,0,1,0,,3.2992668995467365,0
22,1000 Brussels,flat,studio,165000,1,36.0,Partially equipped,1,1,,,0,Fully renovated,1970,4.884408446355413,0,10.544613938825817,0,3.921738495904757,1,0,1,,2,0,0,3.953874345310166,0,0,1,0,,3.210097523883311,0
23,1000 Brussels,flat,apartment,399000,2,96.0,Super equipped,1,1,2,6,0,Normal,2019,17.0,0,40.0,1,10.0,1,1,1,,4,1,9.0,10.0,1,1,1,0,,8.56026006368883,0
24,1000 Brussels,flat,apartment,140000,1,45.0,Partially equipped,1,1,3,4,0,Excellent,,8.0,0,19.0,0,4.902173119880946,1,0,1,,2,0,0,4.942342931637707,0,0,1,0,,4.012621904854139,0
25,1000 Brussels,flat,duplex,560000,1,177.0,Super equipped,1,1,,3,0,Normal,1920,18.0,0,60.0,1,16.0,1,0,1,,2,1,25.0,19.43988219777498,0,1,1,1,125.0,15.78297949242628,0
26,1000 Brussels,flat,apartment,295000,3,110.0,Partially equipped,1,2,1,3,0,Excellent,1900,22.0,0,35.0,0,11.983089848597869,1,0,1,,2,1,7.0,15.0,0,0,1,0,,11.0,0
27,1000 Brussels,flat,apartment,289000,2,90.0,Super equipped,1,1,1,7,0,Normal,,12.0,0,27.0,1,18.0,1,1,1,,2,0,0,10.0,1,1,1,0,,8.025243809708279,0
28,1000 Brussels,house,residence,389000,3,155.0,Partially equipped,1,2,,,0,Excellent,1957,16.0,0,23.0,1,18.0,0,0,1,South-east,2,1,40.0,14.0,0,0,1,0,,7.0,1
29,1000 Brussels,flat,apartment,149900,1,32.0,Fully equipped,1,1,,,0,Normal,,4.341696396760367,0,9.37299016784517,0,3.485989774137562,1,0,1,,2,0,0,3.5145549736090365,0,0,1,0,,2.85342002122961,0
30,1000 Brussels,flat,apartment,830000,3,216.0,Not equipped,2,1,7,7,0,To be renovated,1968,30.0,0,63.2676836329549,1,14.0,1,1,1,,2,1,45.0,16.0,0,0,0,0,,10.0,0
31,1000 Brussels,house,residence,699000,1,,Partially equipped,1,1,,,0,To be renovated,,,0,,0,,0,0,1,North-west,2,0,0,,0,0,1,0,,,0
32,1000 Brussels,flat,loft,645000,2,180.0,Partially equipped,2,1,,3,0,Normal,2001,15.0,0,52.72306969412908,1,19.608692479523786,1,1,1,,2,1,25.0,12.0,1,0,1,0,,16.050487619416558,1
33,1000 Brussels,flat,studio,165000,,40.0,Partially equipped,1,1,2,7,0,Excellent,1996,5.427120495950458,0,24.0,1,4.357487217671952,1,1,1,,3,0,0,4.393193717011296,0,1,1,0,,3.5667750265370124,0
34,1000 Brussels,flat,penthouse,1249000,4,187.0,Partially equipped,2,2,3,4,0,New,2021,15.0,0,54.0,1,20.371252742616377,1,1,1,,3,1,73.0,15.0,1,1,1,0,,9.0,1
35,1000 Brussels,flat,apartment,430000,1,77.0,Super equipped,1,2,1,4,0,New,2021,14.0,0,35.0,1,8.388162894018508,1,1,1,,3,0,0,8.456897905246745,1,1,1,0,,6.866041926083749,0
36,1000 Brussels,flat,apartment,279000,1,65.0,Super equipped,1,1,,5,0,Normal,2002,14.0,0,26.0,1,7.080916728716923,1,1,1,,3,0,0,7.138939790143355,0,0,1,1,,5.796009418122646,0
37,1000 Brussels,house,residence,389000,2,100.0,Super equipped,1,2,,2,0,Normal,,13.567801239876145,0,29.290594274516156,0,10.89371804417988,0,0,1,North-east,2,1,25.0,10.982984292528238,0,0,1,0,,8.916937566342531,0
38,1000 Brussels,flat,apartment,380000,2,80.0,Super equipped,1,1,1,4,0,Excellent,1930,12.0,0,29.0,1,7.0,1,0,1,,2,0,0,13.0,0,0,1,0,,7.133550053074025,0
39,1000 Brussels,flat,ground-floor,349000,1,126.0,Super equipped,1,2,,3,0,Fully renovated,1900,17.0,0,44.0,0,10.0,1,0,1,,2,1,5.0,13.838560208585582,0,0,1,0,,11.235341333591588,0
40,1000 Brussels,house,residence,315000,3,100.0,Super equipped,1,2,,2,0,To be renovated,1874,13.0,0,19.0,0,10.89371804417988,0,0,1,,2,0,0,16.0,0,0,1,0,,12.0,0
41,1000 Brussels,flat,loft,720000,2,190.0,Super equipped,1,2,2,6,0,Normal,,16.0,0,74.0,1,24.0,1,1,1,South-east,2,0,0,11.0,1,0,1,0,,16.942181376050808,1
42,1000 Brussels,flat,studio,185000,,33.0,Partially equipped,1,1,,6,0,Normal,2000,4.477374409159128,1,18.0,0,3.594926954579361,1,1,1,North-west,2,1,3.0,3.624384816534319,0,0,1,0,,2.9425893968930352,0
43,1000 Brussels,flat,ground-floor,640000,2,110.0,Super equipped,2,2,,4,0,New,2021,14.0,0,43.0,1,11.983089848597869,1,1,1,,3,1,24.0,11.0,1,1,1,1,213.0,9.808631322976783,1
44,1000 Brussels,flat,apartment,199000,1,40.0,Super equipped,1,1,,5,0,Normal,,5.427120495950458,0,18.0,0,4.357487217671952,1,1,1,,2,0,0,4.393193717011296,0,0,1,0,,3.5667750265370124,0
45,1000 Brussels,flat,apartment,165000,,33.0,Partially equipped,1,1,,7,0,Normal,2014,4.477374409159128,1,19.0,0,3.594926954579361,1,1,1,North-west,2,0,0,3.624384816534319,0,0,1,0,,2.9425893968930352,0
46,1000 Brussels,flat,apartment,595000,2,109.0,Super equipped,1,2,1,4,0,New,2021,15.0,0,41.0,1,11.874152668156071,1,1,1,,3,1,13.0,12.0,1,1,1,0,,9.71946194731336,0
47,1000 Brussels,flat,apartment,785000,3,144.0,Super equipped,2,2,2,4,0,New,2021,15.0,0,48.0,1,15.686953983619029,1,1,1,,3,1,12.0,15.0,0,1,1,0,,9.0,1
48,1000 Brussels,flat,apartment,239000,2,68.0,Partially equipped,1,1,,7,0,Normal,2009,9.22610484311578,1,32.0,0,7.40772827004232,1,1,1,South,2,1,1.0,7.468429318919203,0,0,1,0,,6.063517545112921,0
49,1000 Brussels,flat,apartment,185000,1,39.0,Super equipped,1,1,,8,0,Normal,2010,5.291442483551696,1,23.0,0,4.248550037230154,1,1,1,South-west,3,1,3.0,4.283363874086013,0,0,1,0,,3.477605650873587,0
50,1000 Brussels,flat,apartment,240000,1,62.0,Partially equipped,1,1,,15,0,Normal,2015,8.41203676872321,0,18.16016845020002,0,6.754105187391526,1,1,1,,2,1,7.0,6.809450261367508,0,0,1,0,,5.528501291132369,0
51,1000 Brussels,house,residence,1490000,5,,Fully equipped,4,6,,,0,Normal,,,0,,0,,0,0,1,,2,0,0,,0,0,1,0,,,0
52,1000 Brussels,flat,apartment,1490000,5,,Fully equipped,4,6,,,0,Normal,,,0,,0,,1,0,1,,2,0,0,,0,0,1,0,,,0
53,1000 Brussels,flat,apartment,220000,1,60.0,Partially equipped,1,1,2,4,0,To be renovated,,23.0,0,42.0,1,7.0,1,0,1,,2,0,0,19.0,0,0,1,0,,5.350162539805519,0
54,1000 Brussels,house,residence,449000,2,250.0,Partially equipped,1,2,,2,0,To be renovated,1940,30.0,0,38.0,0,15.0,0,0,1,,3,1,16.0,14.0,0,0,1,0,,22.29234391585633,1
55,1000 Brussels,house,mixed-building,550000,,,Partially equipped,1,4,,3,0,Excellent,,,0,,0,,0,0,4,,2,0,0,,0,0,1,0,,,0
56,1000 Brussels,flat,apartment,299000,3,105.0,Super equipped,1,2,,6,0,Normal,2004,14.246191301869953,0,30.755123988241966,0,11.438403946388876,1,1,1,,2,0,0,11.53213350715465,0,0,1,0,,9.362784444659658,0
57,1000 Brussels,house,mixed-building,1350000,6,300.0,Partially equipped,3,5,,3,0,Normal,1837,40.70340371962843,0,87.87178282354847,0,32.681154132539646,0,0,1,South,2,1,50.0,32.948952877584716,0,0,1,0,,26.75081269902759,0
58,1000 Brussels,flat,studio,220000,,60.0,Super equipped,1,1,1,4,0,To be renovated,,12.0,0,32.0,1,6.5362308265079285,1,0,1,,2,0,0,6.589790575516943,0,0,1,0,,5.350162539805519,0
59,1000 Brussels,flat,apartment,200000,1,45.0,Partially equipped,1,1,,8,0,Normal,2011,6.105510557944266,1,24.0,0,4.902173119880946,1,1,1,,2,1,4.0,4.942342931637707,0,0,1,0,,4.012621904854139,0
60,1000 Brussels,flat,apartment,399000,3,128.0,Super equipped,2,1,4,4,0,Normal,,17.366785587041466,0,37.49196067138068,0,13.943959096550248,1,0,1,,2,0,0,14.058219894436146,0,0,1,0,,11.41368008491844,0
61,1000 Brussels,flat,apartment,520000,2,149.0,Super equipped,2,2,4,6,0,Excellent,,20.216023847415457,1,43.64298546902907,1,16.231639885828024,1,1,2,,2,1,12.0,16.364646595867075,0,0,1,0,,13.286236973850372,0
62,1000 Brussels,flat,apartment,495000,2,167.0,Super equipped,2,2,3,6,0,Excellent,,22.658228070593164,0,48.91529243844198,1,18.1925091337804,1,1,2,,2,1,9.0,18.34158376852216,0,0,1,0,,14.891285735792026,0
63,1000 Brussels,flat,apartment,563000,2,,Partially equipped,2,1,,,0,New,,14.0,0,,0,,1,1,1,,2,0,0,14.0,0,0,1,0,,,0
